"p","real_NNI","num_stom","dispersed","treatment","leaf_number","image_number","surface","light"
"0.7","1.08928296426958","29","-0.0685592497015177","COL-0 #2","4","4","abaxial","Medium Light"
"0.08","1.22685607219828","63","0.116184356156284","COL-0 HL","4","4","abaxial","High Light"
"0.02","1.4093190310769","32","0.220078850773487","COL-0 LL","4","4","abaxial","Low Light"
"0.74","1.12898964995776","26","-0.0645633789179956","COL-0 #2","5","4","abaxial","Medium Light"
"0.32","1.12149711991118","62","0.037544529046694","COL-0 HL","1","5","abaxial","High Light"
"0","1.26182798356409","81","0.165167601114525","COL-0 HL","4","5","abaxial","High Light"
"0.26","1.40268174947765","18","0.122874450526578","COL-0 #2","1","1","adaxial","Medium Light"
"0","1.2353763574397","83","0.152221434410105","COL-0 HL","1","1","adaxial","High Light"
"0.38","1.34470626133032","17","0.0787252429609936","COL-0 LL","1","1","adaxial","Low Light"
"0.07","1.39659550591734","22","0.172203882283821","COL-0","2","1","adaxial","Medium Light"
"0.06","1.37489391281803","27","0.182451345983711","COL-0 #2","2","1","adaxial","Medium Light"
"0.09","1.19162489050173","67","0.111302427474968","COL-0 HL","2","1","adaxial","High Light"
"0.12","1.32191552331675","27","0.132988679671673","COL-0 LL","2","1","adaxial","Low Light"
"0.11","1.59782597804772","18","0.318385183937093","COL-0","3","1","adaxial","Medium Light"
"0.53","1.30410693510414","17","-0.0168497112695248","COL-0 #2","3","1","adaxial","Medium Light"
"0.02","1.23797912778897","67","0.134479855222527","COL-0 HL","3","1","adaxial","High Light"
"0.14","1.46757253762806","19","0.191091190189577","COL-0 LL","3","1","adaxial","Low Light"
"0.26","1.30919827860697","25","0.0919580068764717","COL-0","4","1","adaxial","Medium Light"
"0.03","1.64012504513674","16","0.33183332880776","COL-0 #2","4","1","adaxial","Medium Light"
"0","1.38896770994253","66","0.267314506151356","COL-0 HL","4","1","adaxial","High Light"
"0.17","1.28422878580265","27","0.107095417089572","COL-0 LL","4","1","adaxial","Low Light"
"0.22","1.37751957164616","18","0.134870156747522","COL-0 #2","5","1","adaxial","Medium Light"
"0.3","1.3390546982987","20","0.0789426932858809","COL-0 #2","1","2","adaxial","Medium Light"
"0.01","1.28234263508959","61","0.181683678993382","COL-0 HL","1","2","adaxial","High Light"
"0.12","1.84538343922547","11","0.398535143185867","COL-0 LL","1","2","adaxial","Low Light"
"0.05","1.67220908217469","17","0.393846420577185","COL-0","2","2","adaxial","Medium Light"
"0.62","1.16762011948345","22","-0.0468081917912972","COL-0 #2","2","2","adaxial","Medium Light"
"0","1.28209691463335","64","0.178422177622351","COL-0 HL","2","2","adaxial","High Light"
"0.04","1.69652691602062","18","0.429981725261982","COL-0 LL","2","2","adaxial","Low Light"
"0.03","1.63874777582466","19","0.367257782762572","COL-0","3","2","adaxial","Medium Light"
"0.59","1.17519988615677","21","-0.0465034080342855","COL-0 #2","3","2","adaxial","Medium Light"
"0","1.34563120416579","61","0.235503711689077","COL-0 HL","3","2","adaxial","High Light"
"0.78","1.06637612400862","33","-0.0667633610444864","COL-0 LL","3","2","adaxial","Low Light"
"0.12","1.4873550653783","21","0.235123773834297","COL-0","4","2","adaxial","Medium Light"
"0.03","1.63509790906837","18","0.367699111837912","COL-0 #2","4","2","adaxial","Medium Light"
"0.01","1.33359924554417","56","0.221768631672209","COL-0 HL","4","2","adaxial","High Light"
"0.04","1.47244798753223","27","0.28056291226956","COL-0 LL","4","2","adaxial","Low Light"
"0.07","1.55339113481843","22","0.300937245328156","COL-0 #2","5","2","adaxial","Medium Light"
"0.16","1.48126307902118","15","0.149922666381871","COL-0 #2","1","3","adaxial","Medium Light"
"0.02","1.22104041493525","69","0.118142657875792","COL-0 HL","1","3","adaxial","High Light"
"0.02","1.75036890379596","18","0.448336412159535","COL-0 LL","1","3","adaxial","Low Light"
"0.4","1.24550317229557","20","0.0361639018496126","COL-0","2","3","adaxial","Medium Light"
"0.13","1.39907168589447","21","0.16325991300193","COL-0 #2","2","3","adaxial","Medium Light"
"0.16","1.17251311403627","59","0.0796814763045955","COL-0 HL","2","3","adaxial","High Light"
"0.06","1.61300197364276","18","0.331586765581892","COL-0 LL","2","3","adaxial","Low Light"
"0.43","1.28466986024231","20","0.037023630982452","COL-0","3","3","adaxial","Medium Light"
"0.1","1.47006657267207","17","0.201218213439886","COL-0 #2","3","3","adaxial","Medium Light"
"0","1.38920810564211","72","0.28051470306648","COL-0 HL","3","3","adaxial","High Light"
"0.04","1.6444453372017","20","0.380861437199571","COL-0 LL","3","3","adaxial","Low Light"
"0.22","1.39972928716672","18","0.132709133372782","COL-0","4","3","adaxial","Medium Light"
"0.15","1.47229310329824","17","0.174192887378881","COL-0 #2","4","3","adaxial","Medium Light"
"0.02","1.27165089233162","62","0.160087582920473","COL-0 HL","4","3","adaxial","High Light"
"0.06","1.4430221189126","24","0.242237621293826","COL-0 LL","4","3","adaxial","Low Light"
"0.22","1.37235768035725","20","0.133094773903875","COL-0 #2","5","3","adaxial","Medium Light"
"0.49","1.26167954289488","18","0.00867206557233265","COL-0 #2","1","4","adaxial","Medium Light"
"0","1.2980302132506","70","0.194376109844924","COL-0 HL","1","4","adaxial","High Light"
"0.3","1.31495152789681","19","0.0688239873679733","COL-0 LL","1","4","adaxial","Low Light"
"0.08","1.4564799816266","22","0.224943135734129","COL-0","2","4","adaxial","Medium Light"
"0.38","1.26850374886263","22","0.0425627544659726","COL-0 #2","2","4","adaxial","Medium Light"
"0.01","1.33997589275045","61","0.21620389399296","COL-0 HL","2","4","adaxial","High Light"
"0.08","1.58784569078064","17","0.273352448691428","COL-0 LL","2","4","adaxial","Low Light"
"0.28","1.37421464475332","20","0.113996956372586","COL-0","3","4","adaxial","Medium Light"
"0.21","1.41660319926055","16","0.132858219006409","COL-0 #2","3","4","adaxial","Medium Light"
"0","1.34667522843741","75","0.238137594867713","COL-0 HL","3","4","adaxial","High Light"
"0.03","1.54065499631129","25","0.315498605601056","COL-0 LL","3","4","adaxial","Low Light"
"0.23","1.28330832341744","23","0.0742114770906206","COL-0","4","4","adaxial","Medium Light"
"0.73","1.11893065678191","18","-0.0926326976968267","COL-0 #2","4","4","adaxial","Medium Light"
"0.01","1.30106267166201","61","0.196812146078868","COL-0 HL","4","4","adaxial","High Light"
"0.07","1.42473728053986","29","0.242954464135208","COL-0 LL","4","4","adaxial","Low Light"
"0.69","1.1855084384933","17","-0.0775282532571445","COL-0 #2","5","4","adaxial","Medium Light"
"0","1.38314071194627","56","0.257565059080043","COL-0 HL","1","5","adaxial","High Light"
"0.07","1.24130772844547","52","0.128227512904482","COL-0 HL","4","5","adaxial","High Light"
