"treatment","leaf_number","image_number","x","y","area","reject","surface","stomata_number","angle","length","light","density"
"COL-0",2,"ab-3",260,10.25,NA,TRUE,"abaxial",28,68.682,22.006,"Medium Light",28
"COL-0",2,"ab-3",290.75,55.25,7972.15400218895,FALSE,"abaxial",25,83.66,22.638,"Medium Light",28
"COL-0",2,"ab-3",333.25,231.25,11799.4345080166,FALSE,"abaxial",20,30.964,26.239,"Medium Light",28
"COL-0",2,"ab-3",364.75,143.5,11381.1600238472,FALSE,"abaxial",22,51.147,23.114,"Medium Light",28
"COL-0",2,"ab-3",368,327,14607.9401585363,FALSE,"abaxial",14,51.71,24.207,"Medium Light",28
"COL-0",2,"ab-3",374,24.75,NA,TRUE,"abaxial",26,69.59,22.94,"Medium Light",28
"COL-0",2,"ab-3",407.5,306.25,6573.42340688634,FALSE,"abaxial",15,68.587,27.391,"Medium Light",28
"COL-0",2,"ab-3",417.25,252.25,NA,TRUE,"abaxial",19,-86.634,25.544,"Medium Light",28
"COL-0",2,"ab-3",421.75,20.5,NA,TRUE,"abaxial",27,7.595,22.699,"Medium Light",28
"COL-0",2,"ab-3",449.5,480.5,NA,TRUE,"abaxial",13,34.992,24.413,"Medium Light",28
"COL-0",2,"ab-3",449.75,192.25,NA,TRUE,"abaxial",21,-81.529,23.759,"Medium Light",28
"COL-0",2,"ab-3",45.75,251.75,6171.24213007241,FALSE,"abaxial",6,-61.504,19.912,"Medium Light",28
"COL-0",2,"ab-3",493,386,NA,TRUE,"abaxial",18,-7.125,24.187,"Medium Light",28
"COL-0",2,"ab-3",498.5,82.25,NA,FALSE,"abaxial",24,-21.541,20.427,"Medium Light",28
"COL-0",2,"ab-3",499.5,118,NA,TRUE,"abaxial",23,32.276,22.472,"Medium Light",28
"COL-0",2,"ab-3",505.25,499.25,NA,TRUE,"abaxial",16,45,NA,"Medium Light",28
"COL-0",2,"ab-3",505.5,442,NA,TRUE,"abaxial",17,65.772,21.932,"Medium Light",28
"COL-0",2,"ab-3",6.25,448.5,NA,TRUE,"abaxial",10,57.265,24.965,"Medium Light",28
"COL-0",2,"ab-3",77.75,336,9671.88114856111,FALSE,"abaxial",8,61.294,23.943,"Medium Light",28
"COL-0",2,"ab-4",1.25,404.25,NA,TRUE,"abaxial",9,-45,NA,"Medium Light",26
"COL-0",2,"ab-4",104,376,NA,TRUE,"abaxial",8,-73.072,24.042,"Medium Light",26
"COL-0",2,"ab-4",207.75,89.25,NA,TRUE,"abaxial",2,-58.134,21.783,"Medium Light",26
"COL-0",2,"ab-4",217.25,460.75,NA,TRUE,"abaxial",11,-69.305,24.052,"Medium Light",26
"COL-0",2,"ab-4",226.75,314,7912.79250689682,FALSE,"abaxial",7,84.289,25.125,"Medium Light",26
"COL-0",2,"ab-4",231.25,427.75,9623.22967526788,FALSE,"abaxial",10,-75.141,25.348,"Medium Light",26
"COL-0",2,"ab-4",235,257.75,13719.9121839362,FALSE,"abaxial",6,-40.972,25.164,"Medium Light",26
"COL-0",2,"ab-4",246.25,95.25,7333.47184363561,FALSE,"abaxial",26,-39.958,24.135,"Medium Light",26
"COL-0",2,"ab-4",267.25,330.75,5755.84501810659,FALSE,"abaxial",12,-64.026,21.691,"Medium Light",26
"COL-0",2,"ab-4",301,0.5,NA,TRUE,"abaxial",25,0,NA,"Medium Light",26
"COL-0",2,"ab-4",316.25,168.75,8432.16869827298,FALSE,"abaxial",22,-21.194,26.277,"Medium Light",26
"COL-0",2,"ab-4",317,46,NA,TRUE,"abaxial",24,-70.821,24.352,"Medium Light",26
"COL-0",2,"ab-4",318,313,9512.85316219094,FALSE,"abaxial",13,-59.421,25.554,"Medium Light",26
"COL-0",2,"ab-4",33,232,NA,TRUE,"abaxial",4,-26.565,22.361,"Medium Light",26
"COL-0",2,"ab-4",365,490.25,NA,FALSE,"abaxial",14,-62.049,27.735,"Medium Light",26
"COL-0",2,"ab-4",367.5,151.25,9639.62623191089,FALSE,"abaxial",21,66.038,24.622,"Medium Light",26
"COL-0",2,"ab-4",368.25,239.75,8907.48171223478,FALSE,"abaxial",20,-48.27,24.789,"Medium Light",26
"COL-0",2,"ab-4",425.75,385.25,11852.2796537971,FALSE,"abaxial",15,-73.887,23.42,"Medium Light",26
"COL-0",2,"ab-4",457.25,240.75,7042.74387362705,FALSE,"abaxial",19,-49.764,25.544,"Medium Light",26
"COL-0",2,"ab-4",480,79,NA,TRUE,"abaxial",23,41.186,21.26,"Medium Light",26
